timestamp,experiment,run_id,fit_time,load_time
2025-12-11T00:21:29.750232,base-b,1,91.3471,0.1489
2025-12-11T00:23:05.839032,base-b,2,87.9755,0.1742
2025-12-11T00:24:39.442168,base-b,3,85.8726,0.3386
2025-12-11T00:26:14.783543,base-b,4,87.3172,0.2542
2025-12-11T00:27:52.757594,base-b,5,89.8412,0.2582
2025-12-11T00:29:38.689155,16mixed,1,97.6487,0.2497
2025-12-11T00:31:22.247100,16mixed,2,95.6662,0.1243
2025-12-11T00:33:04.935742,16mixed,3,95.0681,0.1912
2025-12-11T00:34:47.190165,16mixed,4,95.3192,0.1037
2025-12-11T00:36:33.085569,16mixed,5,98.135,0.1839
2025-12-11T00:45:37.640808,fp+dataloader,1,101.7671,0.1678
2025-12-11T00:47:29.261402,fp+dataloader,2,103.6753,0.3656
2025-12-11T00:49:21.014299,fp+dataloader,3,103.5074,0.3294
2025-12-11T00:51:08.874351,fp+dataloader,4,99.8537,0.3135
2025-12-11T00:52:58.644735,fp+dataloader,5,102.4003,0.244
2025-12-11T00:54:45.991286,fp+dataloader+512size,1,99.505,0.145
2025-12-11T00:56:30.715290,fp+dataloader+512size,2,97.5284,0.2436
2025-12-11T00:58:29.945341,fp+dataloader+512size,3,111.8387,0.2393
2025-12-11T01:00:27.041446,fp+dataloader+512size,4,109.3057,0.1418
2025-12-11T01:02:25.672318,fp+dataloader+512size,5,111.0059,0.2765
2025-12-11T01:07:20.392271,fp+512size,1,87.832,0.3069
2025-12-11T01:09:03.778895,fp+512size,2,95.9223,0.1298
2025-12-11T01:10:45.088350,fp+512size,3,93.3059,0.235
2025-12-11T01:12:28.404458,fp+512size,4,95.3329,0.1158
2025-12-11T01:14:06.256008,fp+512size,5,89.9802,0.1854
2025-12-11T01:16:04.824522,fp+1024size,1,110.5659,0.2021
2025-12-11T01:18:17.201276,fp+1024size,2,124.9242,0.2329
2025-12-11T01:20:33.764384,fp+1024size,3,129.5437,0.1761
2025-12-11T01:22:48.198012,fp+1024size,4,126.6413,0.2544
2025-12-11T01:24:54.303531,fp+1024size,5,118.1476,0.1708
2025-12-11T01:59:52.746458,add_first_gemini_suggestion,-1,139.8735,0.1558
2025-12-11T02:33:48.228498,add_first_gemini_suggestion,-1,210.9862,0.1873
